frame_id,location_id,timestamp,face_id,date,hour,day,month,weekday,location_encoded,face_encoded
FR600000,LAB_101,2025-09-01 12:29:00,,2025-09-01,12,1,9,Monday,5,2821
FR600001,LIB_ENT,2025-09-04 10:27:00,,2025-09-04,10,4,9,Thursday,7,2821
FR600002,ADMIN_LOBBY,2025-09-06 05:36:00,F102064,2025-09-06,5,6,9,Saturday,0,1164
FR600003,AUDITORIUM,2025-09-16 03:05:00,F100578,2025-09-16,3,16,9,Tuesday,1,334
FR600004,ADMIN_LOBBY,2025-08-30 22:18:00,,2025-08-30,22,30,8,Saturday,0,2821
FR600005,LIB_ENT,2025-09-08 02:27:00,,2025-09-08,2,8,9,Monday,7,2821
FR600006,GYM,2025-09-25 12:53:00,,2025-09-25,12,25,9,Thursday,3,2821
FR600007,GYM,2025-09-25 14:41:00,F102016,2025-09-25,14,25,9,Thursday,3,1140
FR600008,LAB_305,2025-09-19 20:46:00,,2025-09-19,20,19,9,Friday,6,2821
FR600009,LAB_305,2025-09-10 17:02:00,F104365,2025-09-10,17,10,9,Wednesday,6,2463
FR600010,HOSTEL_GATE,2025-09-17 01:44:00,,2025-09-17,1,17,9,Wednesday,4,2821
FR600011,HOSTEL_GATE,2025-09-13 19:14:00,,2025-09-13,19,13,9,Saturday,4,2821
FR600012,LAB_305,2025-08-30 07:57:00,F102129,2025-08-30,7,30,8,Saturday,6,1202
FR600013,LAB_101,2025-09-01 14:46:00,F103277,2025-09-01,14,1,9,Monday,5,1858
FR600014,LIB_ENT,2025-09-12 06:34:00,F101452,2025-09-12,6,12,9,Friday,7,818
FR600015,CAF_01,2025-09-03 20:27:00,,2025-09-03,20,3,9,Wednesday,2,2821
FR600016,LAB_305,2025-08-31 21:56:00,F102376,2025-08-31,21,31,8,Sunday,6,1334
FR600017,CAF_01,2025-09-08 13:43:00,F101404,2025-09-08,13,8,9,Monday,2,791
FR600018,LAB_101,2025-09-14 18:44:00,F103172,2025-09-14,18,14,9,Sunday,5,1793
FR600019,ADMIN_LOBBY,2025-09-10 19:30:00,F102439,2025-09-10,19,10,9,Wednesday,0,1379
FR600020,LIB_ENT,2025-09-07 00:30:00,,2025-09-07,0,7,9,Sunday,7,2821
FR600021,HOSTEL_GATE,2025-08-28 23:00:00,F100941,2025-08-28,23,28,8,Thursday,4,538
FR600022,AUDITORIUM,2025-08-31 21:06:00,F101747,2025-08-31,21,31,8,Sunday,1,983
FR600023,LAB_101,2025-09-05 17:59:00,F100252,2025-09-05,17,5,9,Friday,5,140
FR600024,LAB_101,2025-09-19 14:34:00,,2025-09-19,14,19,9,Friday,5,2821
FR600025,AUDITORIUM,2025-09-22 09:44:00,F103886,2025-09-22,9,22,9,Monday,1,2192
FR600026,ADMIN_LOBBY,2025-09-13 19:09:00,F102636,2025-09-13,19,13,9,Saturday,0,1495
FR600027,LAB_101,2025-09-08 19:57:00,,2025-09-08,19,8,9,Monday,5,2821
FR600028,HOSTEL_GATE,2025-09-16 15:19:00,,2025-09-16,15,16,9,Tuesday,4,2821
FR600029,CAF_01,2025-08-29 04:49:00,F101540,2025-08-29,4,29,8,Friday,2,871
FR600030,HOSTEL_GATE,2025-09-09 07:52:00,,2025-09-09,7,9,9,Tuesday,4,2821
FR600031,LAB_101,2025-09-11 15:59:00,F102466,2025-09-11,15,11,9,Thursday,5,1394
FR600032,GYM,2025-08-28 11:01:00,,2025-08-28,11,28,8,Thursday,3,2821
FR600033,LAB_305,2025-08-29 23:30:00,F104934,2025-08-29,23,29,8,Friday,6,2785
FR600034,GYM,2025-09-10 19:02:00,,2025-09-10,19,10,9,Wednesday,3,2821
FR600035,LIB_ENT,2025-09-05 02:54:00,F101166,2025-09-05,2,5,9,Friday,7,667
FR600036,ADMIN_LOBBY,2025-08-30 05:16:00,,2025-08-30,5,30,8,Saturday,0,2821
FR600037,AUDITORIUM,2025-09-18 07:10:00,F100390,2025-09-18,7,18,9,Thursday,1,207
FR600038,LAB_305,2025-08-28 17:29:00,F101806,2025-08-28,17,28,8,Thursday,6,1015
FR600039,LAB_305,2025-09-01 01:48:00,F103776,2025-09-01,1,1,9,Monday,6,2131
FR600040,LAB_101,2025-09-18 22:21:00,,2025-09-18,22,18,9,Thursday,5,2821
FR600041,ADMIN_LOBBY,2025-09-12 21:52:00,,2025-09-12,21,12,9,Friday,0,2821
FR600042,ADMIN_LOBBY,2025-09-23 02:32:00,,2025-09-23,2,23,9,Tuesday,0,2821
FR600043,GYM,2025-09-12 07:45:00,F102199,2025-09-12,7,12,9,Friday,3,1240
FR600044,AUDITORIUM,2025-09-11 03:19:00,F103122,2025-09-11,3,11,9,Thursday,1,1770
FR600045,LIB_ENT,2025-09-21 17:20:00,F100418,2025-09-21,17,21,9,Sunday,7,226
FR600046,LIB_ENT,2025-09-15 07:49:00,,2025-09-15,7,15,9,Monday,7,2821
FR600047,ADMIN_LOBBY,2025-09-14 04:52:00,,2025-09-14,4,14,9,Sunday,0,2821
FR600048,HOSTEL_GATE,2025-09-23 18:34:00,F104926,2025-09-23,18,23,9,Tuesday,4,2779
FR600049,HOSTEL_GATE,2025-09-07 10:04:00,F100474,2025-09-07,10,7,9,Sunday,4,265
FR600050,GYM,2025-09-04 14:22:00,F100409,2025-09-04,14,4,9,Thursday,3,220
FR600051,CAF_01,2025-09-17 14:05:00,,2025-09-17,14,17,9,Wednesday,2,2821
FR600052,AUDITORIUM,2025-09-24 09:05:00,,2025-09-24,9,24,9,Wednesday,1,2821
FR600053,HOSTEL_GATE,2025-09-13 10:18:00,F101366,2025-09-13,10,13,9,Saturday,4,775
FR600054,LAB_305,2025-09-08 20:54:00,F102271,2025-09-08,20,8,9,Monday,6,1279
FR600055,LAB_305,2025-09-23 00:38:00,F103044,2025-09-23,0,23,9,Tuesday,6,1727
FR600056,AUDITORIUM,2025-09-22 07:43:00,F103881,2025-09-22,7,22,9,Monday,1,2190
FR600057,HOSTEL_GATE,2025-09-11 07:05:00,F102583,2025-09-11,7,11,9,Thursday,4,1464
FR600058,LIB_ENT,2025-09-24 00:40:00,,2025-09-24,0,24,9,Wednesday,7,2821
FR600059,GYM,2025-09-01 22:37:00,F100097,2025-09-01,22,1,9,Monday,3,54
FR600060,AUDITORIUM,2025-09-13 19:28:00,,2025-09-13,19,13,9,Saturday,1,2821
FR600061,LAB_305,2025-08-28 05:58:00,,2025-08-28,5,28,8,Thursday,6,2821
FR600062,AUDITORIUM,2025-08-31 07:48:00,,2025-08-31,7,31,8,Sunday,1,2821
FR600063,LIB_ENT,2025-08-30 13:47:00,,2025-08-30,13,30,8,Saturday,7,2821
FR600064,CAF_01,2025-08-31 09:11:00,,2025-08-31,9,31,8,Sunday,2,2821
FR600065,CAF_01,2025-09-16 18:50:00,,2025-09-16,18,16,9,Tuesday,2,2821
FR600066,LAB_305,2025-09-08 09:22:00,,2025-09-08,9,8,9,Monday,6,2821
FR600067,LAB_101,2025-08-29 18:12:00,F101811,2025-08-29,18,29,8,Friday,5,1017
FR600068,HOSTEL_GATE,2025-09-17 15:45:00,F100088,2025-09-17,15,17,9,Wednesday,4,47
FR600069,LIB_ENT,2025-09-04 07:48:00,F100759,2025-09-04,7,4,9,Thursday,7,434
FR600070,CAF_01,2025-09-03 19:56:00,,2025-09-03,19,3,9,Wednesday,2,2821
FR600071,HOSTEL_GATE,2025-09-04 23:24:00,F103464,2025-09-04,23,4,9,Thursday,4,1953
FR600072,HOSTEL_GATE,2025-09-09 02:17:00,,2025-09-09,2,9,9,Tuesday,4,2821
FR600073,LAB_305,2025-09-08 04:04:00,,2025-09-08,4,8,9,Monday,6,2821
FR600074,CAF_01,2025-08-31 01:07:00,F104482,2025-08-31,1,31,8,Sunday,2,2528
FR600075,ADMIN_LOBBY,2025-09-07 21:33:00,,2025-09-07,21,7,9,Sunday,0,2821
FR600076,ADMIN_LOBBY,2025-09-15 19:35:00,F100605,2025-09-15,19,15,9,Monday,0,349
FR600077,LAB_305,2025-09-20 09:50:00,,2025-09-20,9,20,9,Saturday,6,2821
FR600078,HOSTEL_GATE,2025-09-01 16:22:00,,2025-09-01,16,1,9,Monday,4,2821
FR600079,CAF_01,2025-09-11 04:54:00,F102890,2025-09-11,4,11,9,Thursday,2,1640
FR600080,ADMIN_LOBBY,2025-09-20 23:52:00,,2025-09-20,23,20,9,Saturday,0,2821
FR600081,ADMIN_LOBBY,2025-09-16 20:41:00,,2025-09-16,20,16,9,Tuesday,0,2821
FR600082,ADMIN_LOBBY,2025-09-25 05:15:00,F101812,2025-09-25,5,25,9,Thursday,0,1018
FR600083,ADMIN_LOBBY,2025-09-11 02:03:00,,2025-09-11,2,11,9,Thursday,0,2821
FR600084,CAF_01,2025-09-05 05:19:00,,2025-09-05,5,5,9,Friday,2,2821
FR600085,LAB_305,2025-09-08 15:59:00,F102552,2025-09-08,15,8,9,Monday,6,1445
FR600086,GYM,2025-09-05 08:23:00,F101321,2025-09-05,8,5,9,Friday,3,752
FR600087,LAB_101,2025-09-06 17:58:00,F103047,2025-09-06,17,6,9,Saturday,5,1730
FR600088,LIB_ENT,2025-09-18 20:46:00,,2025-09-18,20,18,9,Thursday,7,2821
FR600089,AUDITORIUM,2025-09-12 19:21:00,F101928,2025-09-12,19,12,9,Friday,1,1083
FR600090,AUDITORIUM,2025-09-02 04:44:00,F103212,2025-09-02,4,2,9,Tuesday,1,1817
FR600091,HOSTEL_GATE,2025-09-08 02:24:00,,2025-09-08,2,8,9,Monday,4,2821
FR600092,LAB_305,2025-09-06 08:58:00,,2025-09-06,8,6,9,Saturday,6,2821
FR600093,LAB_305,2025-09-16 01:55:00,F102383,2025-09-16,1,16,9,Tuesday,6,1339
FR600094,LAB_305,2025-09-04 16:51:00,,2025-09-04,16,4,9,Thursday,6,2821
FR600095,LAB_305,2025-09-17 14:52:00,,2025-09-17,14,17,9,Wednesday,6,2821
FR600096,HOSTEL_GATE,2025-09-12 22:44:00,,2025-09-12,22,12,9,Friday,4,2821
FR600097,ADMIN_LOBBY,2025-09-25 05:16:00,,2025-09-25,5,25,9,Thursday,0,2821
FR600098,LAB_101,2025-09-08 14:05:00,F102893,2025-09-08,14,8,9,Monday,5,1643
FR600099,HOSTEL_GATE,2025-09-12 19:27:00,,2025-09-12,19,12,9,Friday,4,2821
FR600100,LAB_305,2025-09-10 04:20:00,F103828,2025-09-10,4,10,9,Wednesday,6,2163
FR600101,HOSTEL_GATE,2025-08-27 05:41:00,F102641,2025-08-27,5,27,8,Wednesday,4,1498
FR600102,LAB_305,2025-09-22 06:12:00,,2025-09-22,6,22,9,Monday,6,2821
FR600103,LAB_305,2025-09-05 01:37:00,F102629,2025-09-05,1,5,9,Friday,6,1490
FR600104,LIB_ENT,2025-09-06 10:13:00,F103681,2025-09-06,10,6,9,Saturday,7,2070
FR600105,ADMIN_LOBBY,2025-09-01 15:21:00,,2025-09-01,15,1,9,Monday,0,2821
FR600106,LIB_ENT,2025-08-28 04:40:00,,2025-08-28,4,28,8,Thursday,7,2821
FR600107,ADMIN_LOBBY,2025-09-10 06:15:00,F102205,2025-09-10,6,10,9,Wednesday,0,1245
FR600108,LIB_ENT,2025-09-12 09:01:00,F100822,2025-09-12,9,12,9,Friday,7,472
FR600109,HOSTEL_GATE,2025-08-28 20:56:00,F103266,2025-08-28,20,28,8,Thursday,4,1851
FR600110,CAF_01,2025-09-16 01:08:00,F100993,2025-09-16,1,16,9,Tuesday,2,567
FR600111,AUDITORIUM,2025-09-12 12:16:00,,2025-09-12,12,12,9,Friday,1,2821
FR600112,LIB_ENT,2025-09-25 00:28:00,,2025-09-25,0,25,9,Thursday,7,2821
FR600113,GYM,2025-09-08 06:21:00,F103939,2025-09-08,6,8,9,Monday,3,2224
FR600114,ADMIN_LOBBY,2025-09-13 04:15:00,F104227,2025-09-13,4,13,9,Saturday,0,2390
FR600115,HOSTEL_GATE,2025-09-01 22:53:00,F104976,2025-09-01,22,1,9,Monday,4,2812
FR600116,LIB_ENT,2025-09-22 09:19:00,F104570,2025-09-22,9,22,9,Monday,7,2576
FR600117,ADMIN_LOBBY,2025-08-28 17:40:00,F101028,2025-08-28,17,28,8,Thursday,0,589
FR600118,GYM,2025-09-20 15:48:00,F103097,2025-09-20,15,20,9,Saturday,3,1759
FR600119,HOSTEL_GATE,2025-09-06 02:50:00,,2025-09-06,2,6,9,Saturday,4,2821
FR600120,LIB_ENT,2025-09-11 22:47:00,F104507,2025-09-11,22,11,9,Thursday,7,2543
FR600121,HOSTEL_GATE,2025-08-29 14:35:00,,2025-08-29,14,29,8,Friday,4,2821
FR600122,GYM,2025-09-02 14:19:00,F103394,2025-09-02,14,2,9,Tuesday,3,1917
FR600123,GYM,2025-09-10 23:57:00,F104791,2025-09-10,23,10,9,Wednesday,3,2703
FR600124,LAB_305,2025-08-29 14:26:00,F104625,2025-08-29,14,29,8,Friday,6,2606
FR600125,LIB_ENT,2025-09-12 06:33:00,,2025-09-12,6,12,9,Friday,7,2821
FR600126,LAB_101,2025-09-03 00:22:00,F101507,2025-09-03,0,3,9,Wednesday,5,849
FR600127,LAB_305,2025-09-06 14:34:00,,2025-09-06,14,6,9,Saturday,6,2821
FR600128,LAB_305,2025-09-20 07:02:00,,2025-09-20,7,20,9,Saturday,6,2821
FR600129,ADMIN_LOBBY,2025-09-22 22:17:00,,2025-09-22,22,22,9,Monday,0,2821
FR600130,AUDITORIUM,2025-09-18 13:58:00,F103665,2025-09-18,13,18,9,Thursday,1,2062
FR600131,AUDITORIUM,2025-09-25 13:45:00,,2025-09-25,13,25,9,Thursday,1,2821
FR600132,GYM,2025-09-06 10:19:00,F101198,2025-09-06,10,6,9,Saturday,3,685
FR600133,GYM,2025-09-07 01:07:00,,2025-09-07,1,7,9,Sunday,3,2821
FR600134,HOSTEL_GATE,2025-09-05 01:05:00,F104574,2025-09-05,1,5,9,Friday,4,2578
FR600135,GYM,2025-09-19 17:41:00,,2025-09-19,17,19,9,Friday,3,2821
FR600136,LIB_ENT,2025-09-08 23:20:00,,2025-09-08,23,8,9,Monday,7,2821
FR600137,LAB_101,2025-09-23 07:53:00,F101792,2025-09-23,7,23,9,Tuesday,5,1008
FR600138,CAF_01,2025-08-30 01:43:00,,2025-08-30,1,30,8,Saturday,2,2821
FR600139,AUDITORIUM,2025-09-05 10:21:00,F104940,2025-09-05,10,5,9,Friday,1,2790
FR600140,AUDITORIUM,2025-09-08 10:24:00,F102522,2025-09-08,10,8,9,Monday,1,1431
FR600141,CAF_01,2025-09-04 20:42:00,,2025-09-04,20,4,9,Thursday,2,2821
FR600142,HOSTEL_GATE,2025-09-10 21:41:00,,2025-09-10,21,10,9,Wednesday,4,2821
FR600143,CAF_01,2025-08-27 18:18:00,F104172,2025-08-27,18,27,8,Wednesday,2,2359
FR600144,GYM,2025-09-24 09:18:00,F104828,2025-09-24,9,24,9,Wednesday,3,2727
FR600145,LIB_ENT,2025-09-11 05:34:00,,2025-09-11,5,11,9,Thursday,7,2821
FR600146,GYM,2025-09-07 04:54:00,F103913,2025-09-07,4,7,9,Sunday,3,2206
FR600147,LIB_ENT,2025-09-24 23:57:00,F102194,2025-09-24,23,24,9,Wednesday,7,1237
FR600148,GYM,2025-09-14 04:10:00,F102363,2025-09-14,4,14,9,Sunday,3,1329
