note_id,entity_id,category,text,timestamp
N400000,E101498,rsvp,Confirmed attendance for robotics workshop.,30-08-2025 02:51
N400001,E101738,helpdesk,Wi-Fi not working in hostel block.,18-09-2025 03:03
N400002,E101590,maintenance,CCTV near library needs check.,06-09-2025 19:47
N400003,E101144,feedback,Broken chair in seminar room.,19-09-2025 09:05
N400004,E102891,incident,Wi-Fi not working in hostel block.,11-09-2025 13:28
N400005,E105563,rsvp,Requesting lab access.,03-09-2025 09:38
N400006,E106091,incident,Wi-Fi not working in hostel block.,07-09-2025 11:44
N400007,E104156,feedback,Confirmed attendance for robotics workshop.,28-08-2025 04:23
N400008,E101051,helpdesk,Confirmed attendance for robotics workshop.,25-09-2025 02:42
N400009,E101088,maintenance,Confirmed attendance for robotics workshop.,01-09-2025 05:25
N400010,E105240,incident,Requesting lab access.,06-09-2025 13:24
N400011,E102602,incident,Confirmed attendance for robotics workshop.,30-08-2025 07:22
N400012,E103025,maintenance,Requesting lab access.,11-09-2025 12:58
N400013,E101950,maintenance,Broken chair in seminar room.,05-09-2025 10:53
N400014,E100017,maintenance,Requesting lab access.,02-09-2025 12:52
N400015,E106535,feedback,Requesting lab access.,14-09-2025 14:20
N400016,E105056,incident,Wi-Fi not working in hostel block.,29-08-2025 10:22
N400017,E101695,maintenance,Confirmed attendance for robotics workshop.,20-09-2025 08:33
N400018,E104720,rsvp,CCTV near library needs check.,29-08-2025 20:09
N400019,E101677,maintenance,Wi-Fi not working in hostel block.,01-09-2025 13:56
N400020,E101314,helpdesk,Requesting lab access.,20-09-2025 04:20
N400021,E102236,maintenance,Confirmed attendance for robotics workshop.,31-08-2025 11:59
N400022,E106208,helpdesk,Wi-Fi not working in hostel block.,06-09-2025 13:59
N400023,E105552,incident,Wi-Fi not working in hostel block.,05-09-2025 00:53
N400024,E104430,incident,Confirmed attendance for robotics workshop.,23-09-2025 03:07
N400025,E104387,maintenance,Wi-Fi not working in hostel block.,30-08-2025 11:45
N400026,E104735,helpdesk,Confirmed attendance for robotics workshop.,17-09-2025 05:28
