note_id,entity_id,category,text,text_clean,timestamp,cluster,lda_topic
N400000,E101498,rsvp,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-08-30 02:51:00,2,5
N400001,E101738,helpdesk,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-18 03:03:00,3,1
N400002,E101590,maintenance,CCTV near library needs check.,cctv near library needs check,2025-09-06 19:47:00,4,2
N400003,E101144,feedback,Broken chair in seminar room.,broken chair seminar room,2025-09-19 09:05:00,1,4
N400004,E102891,incident,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-11 13:28:00,3,1
N400005,E105563,rsvp,Requesting lab access.,requesting lab access,2025-09-03 09:38:00,0,3
N400006,E106091,incident,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-07 11:44:00,3,1
N400007,E104156,feedback,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-08-28 04:23:00,2,5
N400008,E101051,helpdesk,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-09-25 02:42:00,2,5
N400009,E101088,maintenance,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-09-01 05:25:00,2,5
N400010,E105240,incident,Requesting lab access.,requesting lab access,2025-09-06 13:24:00,0,3
N400011,E102602,incident,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-08-30 07:22:00,2,5
N400012,E103025,maintenance,Requesting lab access.,requesting lab access,2025-09-11 12:58:00,0,3
N400013,E101950,maintenance,Broken chair in seminar room.,broken chair seminar room,2025-09-05 10:53:00,1,4
N400014,E100017,maintenance,Requesting lab access.,requesting lab access,2025-09-02 12:52:00,0,3
N400015,E106535,feedback,Requesting lab access.,requesting lab access,2025-09-14 14:20:00,0,3
N400016,E105056,incident,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-08-29 10:22:00,3,1
N400017,E101695,maintenance,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-09-20 08:33:00,2,5
N400018,E104720,rsvp,CCTV near library needs check.,cctv near library needs check,2025-08-29 20:09:00,4,2
N400019,E101677,maintenance,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-01 13:56:00,3,1
N400020,E101314,helpdesk,Requesting lab access.,requesting lab access,2025-09-20 04:20:00,0,3
N400021,E102236,maintenance,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-08-31 11:59:00,2,5
N400022,E106208,helpdesk,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-06 13:59:00,3,1
N400023,E105552,incident,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-05 00:53:00,3,1
N400024,E104430,incident,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-09-23 03:07:00,2,5
N400025,E104387,maintenance,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-08-30 11:45:00,3,1
N400026,E104735,helpdesk,Confirmed attendance for robotics workshop.,confirmed attendance robotics workshop,2025-09-17 05:28:00,2,5
N400027,E106468,rsvp,Wi-Fi not working in hostel block.,wi fi working hostel block,2025-09-10 10:51:00,3,1
N400028,E104707,helpdesk,Requesting lab access.,requesting lab access,2025-09-24 04:57:00,0,3
N400029,E104158,rsvp,Broken chair in seminar room.,broken chair seminar room,2025-09-20 04:56:00,1,4
